name,formatted_address,latitude,longitude,province
ENDESA Charging Station,"Calle José Saramago, 29660 Marbella, Málaga",36.4891,-4.9531,Málaga
Tesla Destination Charger,"Calle Las Violetas, 4, 29660 Marbella, Málaga",36.48981320000001,-4.9616535000000015,Málaga
be.ENERGISED Charging Station,42 Calle Ribera Marbella 29660 ES,36.48600020000001,-4.9544023,Málaga
Tesla Destination Charger,"Plaza de Cibeles, s/n, 29660 Marbella, Málaga",36.509707,-4.979749,Málaga
Tesla Destination Charger,"Hotel Benabola, 3 Calle Benabola, Calle Benabola, 29660 Marbella, Málaga",36.485294,-4.954905999999999,Málaga
ENDESA Charging Station,"Calle Ramón Areces, s/n, 29660 Marbella, Málaga",36.489937,-4.952054,Málaga
Tesla Destination Charger,"Av de Sor Teresa Prat, 11, 29003 Málaga",36.7003502,-4.4391645,Málaga
Iberdrola Clientes Charging Station,"Av. de Velázquez, 389, 29004 Málaga",36.658543,-4.482724999999999,Málaga
Andalucia Tech,29010 Málaga,36.7187625,-4.49456,Málaga
Camping El Sur,"Carretera Ronda-Algeciras, Km 1.5, 29400 Ronda, Málaga",36.7209434,-5.172418599999999,Málaga
Princesa - Huelin,29003 Málaga,36.7043139,-4.4401361,Málaga
Andalucía Tech,29010 Málaga,36.7188333,-4.4943306,Málaga
Estacíon de Ronda Adif,"Av. Andalucía, 31, 29400 Ronda, Málaga",36.7484192,-5.161958400000001,Málaga
Estación de Servicio Repsol,"Av. de Andalucía, 169, D, 29740 Torre del Mar, Málaga",36.7372871,-4.1018186000000005,Málaga
Puerta Blanca,"Av. de Velázquez, 103, 29004 Málaga",36.6915103,-4.455984700000001,Málaga
El Torcal,29003 Málaga,36.6997373,-4.4460788,Málaga
Estacion FF. CC.,"29510 Barriada Estación, Málaga",36.81996,-4.6997452000000015,Málaga
Barriada Estacion,"29510 Barriada Estación, Málaga",36.8210519,-4.6996915,Málaga
Punto Recarga Coche Electrico,"Av. de los Guindos, 112, 29004 Málaga",36.689698,-4.4428559000000005,Málaga
Barriada Estación,"29510 Barriada Estación, Málaga",36.82086109999999,-4.699561099999999,Málaga
Terminal Fuengirola,"Calle Alfonso XIII, 5, 29640 Fuengirola, Málaga",36.5415,-4.62293,Málaga
Tesla Destination Charger,"Plaza Andalucía, s/n, 23400 Úbeda, Jaén",38.0109412,-3.3718719,Jaén
Estación de Servicio Repsol,"Av. de Andalucía, S.N, D, 23680 Alcalá la Real, Jaén",37.4506807,-3.9208746,Jaén
Aparcamientos Úbeda,"Plaza Andalucía, S/N, 23400 Úbeda, Jaén",38.0109523,-3.3718635000000003,Jaén
Úbeda,"Calle San José, 23400 Úbeda, Jaén",38.0123843,-3.3785089,Jaén
ENDESA Charging Station,"Andalucía Plaza, 4, 18196 Sierra Nevada, Granada",37.09317,-3.3993290000000003,Granada
Iberdrola Clientes Charging Station,"Calle Sócrates, 0, 18002 Granada",37.176527,-3.605102,Granada
Concesionario Renault Japemasa,"Avenida Andalucía, S/N, 18015 Granada",37.198289,-3.636791000000001,Granada
Estación Naturgy Granada,"Avenida de Andalucía, s/n BO PP-I5 Fatinafar I, 18015 Granada",37.1975327,-3.6412093,Granada
Estación ITV Granada - VEIASA,"Av. de Andalucía, s/n, 18015 Granada",37.198033,-3.6449265,Granada
Estación de Autobuses de Granada,"Av. de Juan Pablo II, s/n, 18014 Granada",37.199694,-3.613654,Granada
Estacíon de Granada Adif,"Av. de Andaluces, S/N, 18014 Granada",37.1839999,-3.6091361000000006,Granada
GiC - Gestion Inteligente de Cargas Charging Station,"3 Av. Molini Cirve, 41012",37.379102,-6.0011959999999975,Sevilla
Iberdrola Clientes Charging Station,"Calle Betis, 41010 Sevilla",37.385516,-6.002879,Sevilla
Tesla Supercharger,"Calle Cordoba, 15, 41550 Aguadulce, Sevilla",37.2568683,-4.986181299999998,Sevilla
ESTACION ADIF,"SE-766, 41590 La Roda de Andalucía, Sevilla",37.2093876,-4.7750433,Sevilla
Iberdrola Clientes Charging Station,41400 Sevilla,37.3868593,-5.999740099999999,Sevilla
Estación Naturgy Sevilla-Tussam,"Av. de Andalucía, 11, 41007 Sevilla",37.3871876,-5.9458237,Sevilla
Estación de servicio Cepsa,"Virgen Del Carmen, 1, 41420 Fuentes de Andalucía, Sevilla",37.464864,-5.342735999999999,Sevilla
Estación de Servicio Repsol,"N-334, 124,8 IZ, 41590 La Roda de Andalucía, Sevilla",37.2144208,-4.777266300000001,Sevilla
Estación de Sevilla-Santa Justa,Sevilla,37.3911385,-5.9754708,Sevilla
Sevilla Santa Justa,"41007, Calle Joaquin Morales y Torres, 41003 Sevilla",37.391863,-5.975339,Sevilla
Estación de Servicio Repsol,"A-92 Km. 1,50 I, 41020 Sevilla",37.3870273,-5.9350013,Sevilla
Estación De Servicio Martínez Castanedo Hermanos,"Calle Reconquista de Sevilla, 15, 39770 Laredo, Cantabria",43.4102385,-3.4128642,Sevilla
Tesla Supercharger,"Av. Ada Lovelace, 23, 28906 Getafe, Madrid",40.2903543,-3.6963012,Madrid
Estación de carga de vehículos eléctricos,"28597 Fuentidueña de Tajo, Madrid",40.1201168,-3.1522568,Madrid
ENDESA Charging Station,"Plaza de San Cayetano, s/n, 28028 Madrid",40.4342759,-3.670748,Madrid
ENDESA Charging Station,"Av. de España, 18, 28941 Fuenlabrada, Madrid",40.292186,-3.798177,Madrid
Tesla Destination Charger,"Calle Colegios, 8, 28801 Alcalá de Henares, Madrid",40.48154810000001,-3.3608592000000006,Madrid
Centrowagen Audi Badajoz,"Av. Madrid-Lisboa, km399, 06008 Badajoz",38.8745699,-6.954619900000001,Madrid
EasyCharger Estación de carga,"06200 Almendralejo, Badajoz",38.7099152,-6.400288700000001,Badajoz
Iberdrola Charging Station,"Paseo de Extremadura, 2, 06260 Monesterio, Badajoz",38.093548,-6.276211,Badajoz
Tesla Supercharger,"06800 Mérida, Badajoz",38.9211108,-6.3757005,Badajoz
Estación de carga de vehículos eléctricos,"Av. de Elvas, S/N, 06006 Badajoz",38.8851783,-7.021799400000001,Badajoz
Estación de servicio Cepsa AVDA. EXTREMADURA,"Av. Extremadura, 15, 06800 Mérida, Badajoz",38.9204921,-6.3406037,Badajoz
Estación de servicio Cepsa CALAMONTE,"AVDA. DE EXTREMADURA, 76, 06810 Calamonte, Badajoz",38.8944266,-6.3865652000000015,Badajoz
Estación de Servicio Repsol,"Av. de Extremadura, 67, 06910 Granja de Torrehermosa, Badajoz",38.3048287,-5.5942777,Badajoz
Estación de Servicio Repsol,"Av. de Extremadura, S.N, 06850 Arroyo de San Serván, Badajoz",38.86095570000001,-6.454535799999999,Badajoz
Estación de servicio Cepsa,"Av. Extremadura, S/n, 06420 Castuera, Badajoz",38.729667,-5.545652,Badajoz
Centro Comercial El Faro,"El Faro del Guadiana Shopping Centre, Av. de Elvas, s/n, 06006 Badajoz",38.8838177,-7.0223014999999975,Badajoz
Estacíon de Merida Adif,"Calle Cardero, S/N, 06800 Mérida, Badajoz",38.9213911,-6.343072900000001,Badajoz
Iberdrola Charging Station,"Calle Andalucía, 169, 34004 Palencia",41.990766,-4.511121,Palencia
Easycharger Estación de carga,"Calle Obispo Nicolás Castellanos, 1, Entreplanta C Izquierda, 34001 Palencia",42.0132388,-4.5337654,Palencia
ENDESA Charging Station,"Calle Extremadura, 13, 34004 Palencia",42.004862,-4.518477,Palencia
Tesla Supercharger,"Carretera N-iv K-173,100, 29, 13200 Manzanares, Cdad. Real",39.0063666,-3.3832406,Ciudad Real
Iberdrola Charging Station,"Area de Servicio Taray, 13210 Villarta de San Juan, Cdad. Real",39.2505219,-3.430358,Ciudad Real
Iberdrola Clientes Charging Station,"N-430, 309, 13005 Ciudad Real, Cdad. Real",38.9873468,-3.914091200000001,Ciudad Real
Tesla Destination Charger,"no name, Calle de Pedro Oviedo, 8, 13270 Almagro, Cdad. Real",38.888267,-3.717387,Ciudad Real
ENDESA Charging Station,"2 Travesía, Calle Torre Álvarez, 1, 30007 Murcia",37.997741,-1.1360860000000002,Murcia
Iberdrola Charging Station,"Polígono Ascoy, 11B, 30530 Cieza, Murcia",38.25940900000001,-1.433424,Murcia
Endesa Estación de carga,"Salida 606, Autovía del Mediterráneo, 30848",37.793808,-1.428134,Murcia
Endesa Estación de carga,"Calle Mallorca, 21, 30730 San Javier, Murcia",37.7951474,-0.8385684000000001,Murcia
Estación de Carga de Vehículos Eléctricos,"Paseo Alfonso XIII, 30203 Cartagena, Murcia",37.60692279999999,-0.9823205,Murcia
Estación de Vehículo Eléctrico,"Plaza de Carruajes, 30800 Lorca, Murcia",37.6719381,-1.6966689,Murcia
Iberdrola Charging Station,"Av. Juan Carlos I, 2, 30400 Caravaca de la Cruz, Murcia",38.102619,-1.866819,Murcia
Estación de carga de vehículos eléctricos,"Carrer de José Pomer, 3, 46920 Mislata, Valencia",39.4754183,-0.4182892,Valencia
Estación de carga de EV,"Unnamed Road, 46340, 46340, Valencia",39.4898665,-1.1085473,Valencia
estacion de carga,"46711 Miramar, Valencia, Valencia",38.9483404,-0.1410664,Valencia
EasyCharger Estación de carga,"46317 Villargordo del Cabriel, Valencia",39.52891629999999,-1.4335149,Valencia
"EDP Comercializadora, SAU Charging Station","Avinguda de Les Moreres, 46500 Sagunt, Valencia",39.6742113,-0.2635329,Valencia
Fenie Energia Charging Station,"Carrer de la Casa d'Osca, 3, 46870 Ontinyent, Valencia",38.8586433,-0.5826854,Valencia
Apartamentos Maier,"Calle San Nicolás, 4, 11002 Cádiz",36.52945,-6.301842,Cádiz
Estación de Autobuses de Jerez De La Frontera,"11401 Jerez de la Frontera, Cádiz",36.6795451,-6.126471,Cádiz
Estación de Autobuses de Cádiz,"Av. Astilleros, 302, 11007 Cádiz",36.5269719,-6.2862034000000016,Cádiz
Estación de autobuses San Bernardo,"Calle San Bernardo, 1B, 11207 Algeciras, Cádiz",36.12594770000001,-5.4478547,Cádiz
Estación de Puerto Real,"11 11510, Ctra. de Circunvalación, 9, 11510 Puerto Real, Cádiz",36.5309599,-6.185581299999999,Cádiz
Córdoba,"Glorieta Tres Culturas, s/n, 14011 Córdoba",37.8884888,-4.7895246,Córdoba
Estación ITV Córdoba (C/Ingeniero Torres Quevedo) - VEIASA,"Calle Ingeniero Torres Quevedo, s/n, Polígono Industrial La Torrecilla, 14013 Córdoba",37.8519866,-4.791938399999999,Córdoba
Estación Berja,"04760 Berja, Almería",36.84064,-2.9473,Almería
El Ejido,"04700 El Ejido, Almería",36.77304,-2.80813,Almería
Enix,"04729 Enix, Almería",36.8772694,-2.601775,Almería
Iberdrola Charging Station,"1470, N-340a, 04410 Benahadux",37.655001,-1.711529,Almería
Estación de carga de vehículos eléctricos,"Plaza de Aragón, 22300 Barbastro, Huesca",42.035351,0.1213713,Huesca
Estación de carga de vehículos eléctricos,"Plaza Cortes de Aragón, 5, 22700 Jaca, Huesca",42.5695049,-0.5510974000000001,Huesca
Estacíon de Binefar Adif,"Av. de Aragon, S/N, 22500 Binéfar, Huesca",41.84975479999999,0.29138600000000003,Huesca
Estacíon de Grañen Adif,"Calle, Ronda de Aragón, S/N, 22260 Grañén, Huesca",41.937981,-0.3693002,Huesca
Estación de Servicio Repsol,"Calle Corona de Aragón, 52 IZ, 22300 Barbastro, Huesca",42.0346932,0.1282539,Huesca
Canfranc,"22880 Canfranc-Estación, Huesca",42.751471,-0.514641,Huesca
Ayerbe,"22800 Ayerbe, Huesca",42.27561,-0.682569,Huesca
Tesla Destination Charger,"Calle de San Roque, 1, 6, 50230 Alhama de Aragón, Zaragoza",41.294603,-1.896894,Zaragoza
Tesla Supercharger,"Camino de la Paridera de Costa, 50012 Zaragoza",41.6241118,-1.0109892,Zaragoza
IBIL Charging Station,"Av. de Casablanca, 11, 50019 Zaragoza",41.6231572,-0.9392437,Zaragoza
Iberdrola Clientes Charging Station,"Calle Teatro Malibrán, 28, 50021 Zaragoza",41.6077,-0.8914,Zaragoza
Zoilo Ríos Estación de carga,"Autovía de Logroño, 0,300, 50011 Zaragoza",41.6604005,-0.9250773,Zaragoza
Supercargador TESLA,"Calle Carr. de madrid, 50220 Ariza, Zaragoza",41.3131364,-2.0026174,Zaragoza
Puntos de Recarga,"Av. de Salvador Allende, 105, Local, 50015 Zaragoza",41.67785960000001,-0.8722631999999999,Zaragoza
Estacíon de Alhama De Aragon Adif,"Carretera Estacion Ferrocarril, S/N, 50230 Alhama de Aragón, Zaragoza",41.2943278,-1.9043271,Zaragoza
Estación de Servicio Repsol,"A-68, P.K. 258,25 DE, 50692 Villarrapa, Zaragoza",41.74049249999999,-1.0789535,Zaragoza
Cariñena,"50400 Cariñena, Zaragoza",41.335586,-1.228422,Zaragoza
Zaragoza-Delicias,"Av. Navarra, 80, 50011 Zaragoza",41.65869379999999,-0.911226,Zaragoza
Zaragoza Plaza,"Unnamed Road, Zaragoza",41.6772633,-0.9442944,Zaragoza
Repsol,"A-2, Km 202, 50292 Cetina, Zaragoza",41.3027424,-1.9457493,Zaragoza
Zaragoza-Delicias,"Calle Rioja, 33, 50011 Zaragoza",41.6578469,-0.9091052,Zaragoza
Caspe,"50700 Caspe, Zaragoza",41.239738,-0.042701,Zaragoza
Gallur,"50650, Zaragoza",41.867164,-1.321342,Zaragoza
Luceni,"50640 Luceni, Zaragoza",41.826116,-1.243536,Zaragoza
Estación de Servicio Repsol,"Cr N-330, 491,9 I, 50019 Zaragoza",41.6210922,-0.9150136000000001,Zaragoza
Estación de Servicio Repsol,"Av. Isla de Murano, S.N, 50021 Zaragoza",41.6097869,-0.8819564999999999,Zaragoza
Estación de Servicio Repsol,"Av. de la Ilustración, 1, 50012 Zaragoza",41.62685949999999,-0.9227649,Zaragoza
"OFICINAS CENTRALES ZOILO RIOS, S.A.","Autovía de Logroño. p.k.0.300, 50011 Zaragoza",41.6604906,-0.9255567999999998,Zaragoza
IBIL Charging Station,"Local, Carr. Zaragoza, 20, 31500",42.0355435,-1.5885234,Zaragoza
Iberdrola Charging Station,"Av. Zaragoza, 20, 31397 Campanas, Navarra",42.688372,-1.6518488999999998,Zaragoza
Tesla Supercharger,"43896 L'Aldea, Tarragona",40.7529908,0.6064046999999999,Tarragona
